Year	Langs	System	Human	BLEU_m	BLEU	MacroF1	MicroF1	MacroBLEUF	MicroBLEUF	CHRF1	MacroF3	MicroF3	CHRF3
2018	en-et	uedin.5563	0.295	0.2372	22.8	25.5	44.8	20.2	36.7	0.55	26.1	45.8	0.54	
2018	en-et	online-A.0	-0.195	0.1496	13.7	18.2	36.8	14.1	30.4	0.49	19.3	38.3	0.48	
2018	en-et	tilde-c-nmt.5565	0.427	0.2445	23.8	27.2	46.6	21.6	38.3	0.57	27.8	47.2	0.56	
2018	en-et	tilde-nc-nmt.5449	0.549	0.2527	24.6	28.5	47.4	22.6	38.7	0.58	29.0	48.4	0.57	
2018	en-fi	Aalto.5550	0.271	0.1762	17.1	20.1	37.7	16.1	32.2	0.52	20.7	38.6	0.52	
2018	en-fi	HY-NMT-en-fi.5570	0.466	0.1899	18.4	21.9	38.8	17.6	33.6	0.53	22.3	39.2	0.52	
2018	en-fi	CUNI-Kocmi.5620	0.184	0.1562	15.2	18.9	35.7	15.1	30.6	0.50	19.6	36.6	0.50	
2018	en-fi	HY-SMT-en-fi.5436	-0.334	0.1179	11.3	15.0	31.3	12.1	27.4	0.47	15.6	32.1	0.46	
2018	en-fi	NICT.5658	0.521	0.1986	18.8	22.9	39.9	18.3	33.9	0.54	23.6	40.9	0.54	
2018	en-fi	HY-NMTtwostep-en-fi.5639	0.258	0.1587	14.8	19.0	35.8	15.2	31.0	0.51	19.5	36.4	0.51	
2018	en-fi	HY-AH-en-fi.5567	-0.369	0.0704	6.5	11.3	26.1	8.9	23.2	0.43	11.7	26.8	0.43	
2018	en-fi	online-B.0	0.183	0.1504	14.6	18.0	34.8	14.4	29.9	0.50	18.7	35.8	0.50	
2018	en-fi	online-A.0	-0.212	0.1051	9.5	13.9	30.0	11.0	26.0	0.47	14.8	31.5	0.47	
2018	en-fi	online-G.0	-0.233	0.1119	10.3	15.0	30.4	11.8	26.1	0.47	16.0	32.4	0.46	
2018	en-fi	uedin.5707	0.324	0.1788	17.2	21.1	38.1	16.9	32.7	0.52	21.8	38.9	0.52	
2018	en-fi	talp-upc.5424	0.238	0.1562	14.8	18.6	35.2	14.8	30.3	0.50	19.2	36.2	0.50	
2018	en-de	UCAM.5585	0.537	0.4775	47.2	47.4	68.7	40.1	58.4	0.70	48.2	68.7	0.70	
2018	en-de	uedin.5770	0.352	0.4550	44.8	44.0	66.6	37.1	56.3	0.69	44.7	66.8	0.68	
2018	en-tr	alibaba-ensemble-model.5744	0.111	0.2340	22.5	25.4	44.8	20.5	38.5	0.54	26.1	45.4	0.54	
2018	en-tr	alibaba-ensemble-model.5732	0.216	0.2341	22.6	25.5	45.0	20.6	38.7	0.54	26.1	45.4	0.54	
2018	en-tr	NICT.5695	0.128	0.2296	22.1	25.1	44.6	20.2	38.3	0.54	25.7	45.1	0.53	
2018	en-ru	Alibaba-ensemble-model.5713	0.352	0.3609	35.1	34.7	54.8	29.1	46.6	0.61	35.5	55.4	0.61	
2018	en-ru	online-G.0	0.324	0.3321	31.8	32.3	52.7	26.9	44.8	0.60	33.2	53.2	0.60	
2018	en-ru	online-B.0	0.159	0.2828	27.6	29.0	49.1	23.9	41.9	0.56	29.9	49.9	0.57	
2018	en-ru	PROMT-Hybrid-Marian.5605	0.115	0.2836	27.7	26.6	48.4	21.9	41.2	0.56	27.7	49.4	0.56	
