Year	Langs	System	Human	BLEU_m	BLEU	MacroF1	MicroF1	MacroBLEUF	MicroBLEUF	CHRF1	MacroF3	MicroF3	CHRF3
2019	de-en	online-B.0	0.121	0.0573	45.2	56.1	69.9	47.4	60.1	0.68	56.6	69.9	0.67	
2019	de-en	online-Y.0	0.009	0.0524	39.4	49.8	66.1	41.5	56.6	0.64	50.4	66.0	0.64	
2019	de-en	MLLP-UPV.6899	0.067	0.0505	39.2	49.3	65.7	40.9	55.6	0.64	50.0	66.3	0.64	
2019	de-en	online-X.0	-0.192	0.0432	28.3	32.2	55.5	27.5	48.1	0.57	32.4	55.6	0.55	
2019	de-en	MSRA.MADL.6910	0.136	0.0532	42.7	52.7	68.1	44.0	57.9	0.67	53.6	68.8	0.67	
2019	de-en	RWTH_Aachen_System.6818	0.136	0.0527	39.6	50.0	66.1	41.6	56.2	0.65	50.6	66.7	0.64	
2019	de-en	TartuNLP-c.6502	0.006	0.0489	34.1	44.3	61.9	36.5	53.4	0.61	45.0	61.8	0.60	
2019	de-en	UCAM.6461	0.066	0.0517	39.9	49.8	66.1	41.6	56.2	0.64	50.4	66.8	0.64	
2019	de-en	JHU.6809	0.086	0.0492	37.7	48.8	65.1	40.4	55.1	0.64	49.6	66.2	0.64	
2019	de-en	online-G.0	-0.051	0.0497	34.5	44.5	62.2	36.8	52.9	0.61	45.1	62.8	0.61	
2019	de-en	uedin.6749	0.011	0.0477	35.1	45.0	63.0	37.2	54.2	0.61	45.4	62.3	0.60	
2019	de-en	Facebook_FAIR.6750	0.146	0.0535	40.6	52.0	67.1	43.3	56.9	0.66	52.9	67.9	0.65	
2019	de-en	online-A.0	0.05	0.0493	37.0	47.6	64.7	39.4	55.0	0.63	48.3	64.9	0.63	
2019	de-en	dfki-nmt.6478	0.066	0.0523	38.6	47.1	64.9	39.2	55.1	0.64	47.9	65.5	0.64	
2019	de-en	NEU.6801	0.039	0.0525	40.7	50.6	66.9	42.1	56.7	0.65	51.4	67.6	0.65	
2019	de-en	PROMT_NMT_DE-EN.6683	-0.128	0.0445	31.9	40.3	59.9	33.3	51.0	0.58	41.0	60.3	0.58	
2019	de-fr	online-Y.0	0.019	0.3641	35.1	38.9	59.6	33.1	52.2	0.62	39.6	59.6	0.61	
2019	de-fr	LIUM.6719	0.129	0.3636	35.1	39.2	59.2	33.5	51.7	0.62	39.8	59.6	0.61	
2019	de-fr	MSRA.MADL.6888	0.249	0.4029	39.0	43.9	62.5	37.3	54.2	0.65	44.5	62.7	0.64	
2019	de-fr	online-X.0	-0.456	0.3226	28.4	32.5	53.7	27.9	47.8	0.57	33.1	54.2	0.56	
2019	de-fr	online-B.0	0.038	0.3464	33.5	38.1	58.5	32.3	53.0	0.61	38.7	57.7	0.60	
2019	de-fr	Kyoto_University_T2T.6679	0.164	0.3750	36.2	40.4	60.9	34.2	54.1	0.63	40.9	60.7	0.62	
2019	de-fr	online-G.0	-0.24	0.3412	29.9	34.3	56.0	29.6	49.7	0.59	34.4	55.6	0.58	
2019	de-fr	MLLP-UPV.6647	0.23	0.3786	36.3	41.1	60.7	34.9	52.5	0.63	41.7	60.9	0.62	
2019	de-fr	lingua_custodia_primary.6690	0.16	0.3898	37.5	40.6	61.4	34.8	53.3	0.63	41.1	61.5	0.63	
2019	de-fr	online-A.0	-0.194	0.3515	32.9	34.7	57.3	29.4	50.2	0.60	35.4	57.7	0.59	
2019	de-fr	TartuNLP-c.6897	-0.104	0.3415	32.8	36.5	57.9	30.9	51.6	0.61	37.0	58.1	0.60	
