	Year	Correlation	Langs	BLEU_m	BLEU	MacroF1	MicroF1	CHRF1	MacroF3	MicroF3	CHRF3
67	2017	pearson	en-de	0.867	0.891	0.846	0.864	0.872	0.847	0.859	0.887
68	2017	pearson	en-fi	0.92	0.918	0.95	0.967	0.976	0.953	0.969	0.984
69	2017	pearson	en-ru	0.898	0.902	0.952	0.923	0.931	0.952	0.917	0.956
70	2017	pearson	en-tr	0.924	0.886	0.886	0.917	0.985	0.875	0.898	0.985
71	2017	pearson	en-zh	0.982	0.98	0.713	0.939	0.974	0.684	0.896	0.971
72	2017	pearson	fi-en	0.903	0.893	0.871	0.917	0.963	0.878	0.897	0.938
73	2017	pearson	lv-en	0.975	0.949	0.944	0.949	0.973	0.945	0.956	0.933
74	2017	pearson	ru-en	0.912	0.902	0.937	0.927	0.929	0.936	0.94	0.952
75	2017	pearson	tr-en	0.976	0.942	0.878	0.947	0.975	0.882	0.935	0.918
76	2017	pearson	zh-en	0.863	0.868	0.811	0.9	0.833	0.794	0.879	0.819
											
77	2017	kendall	cs-en	*1.000	*1.000	*0.667	*0.667	*0.913	*0.667	*0.667	*0.913
78	2017	kendall	de-en	0.564	0.564	0.734	0.661	0.744	0.673	0.722	0.795
79	2017	kendall	en-cs	0.758	0.751	0.767	0.758	0.878	0.78	0.789	0.84
80	2017	kendall	en-de	0.714	0.767	0.562	0.593	0.72	0.574	0.587	0.619
81	2017	kendall	en-fi	0.667	0.697	0.769	0.718	0.782	0.791	0.848	0.867
82	2017	kendall	en-ru	0.556	0.556	0.778	0.648	0.669	0.761	0.667	0.704
83	2017	kendall	en-tr	0.857	0.714	*0.571	0.643	0.849	0.618	*0.571	0.849
84	2017	kendall	en-zh	0.911	0.911	0.6	0.854	0.899	0.644	0.778	0.899
85	2017	kendall	fi-en	0.867	0.867	*0.733	0.867	0.867	*0.733	0.867	0.867
86	2017	kendall	lv-en	0.905	0.714	0.905	0.905	0.905	0.905	0.905	0.878
87	2017	kendall	ru-en	0.778	0.611	0.611	0.722	0.8	0.611	0.704	0.8
88	2017	kendall	tr-en	0.911	0.778	0.674	0.733	0.907	0.674	0.809	0.782
89	2017	kendall	zh-en	0.758	0.78	0.736	0.824	0.732	0.685	0.714	0.633
