	Year	Correlation	Langs	BLEU_m	BLEU	MacroF1	MicroF1	CHRF1	MacroF3	MicroF3	CHRF3
35	2019	kendall	zh-en	0.695|0.00	0.695|0.00	0.752|0.00	0.676|0.00	0.715|0.00	0.771|0.00	0.790|0.00	0.748|0.00
36	2018	pearson	cs-en	0.970|0.01	0.954|0.01	0.887|0.04	0.960|0.01	0.915|0.03	0.878|0.05	0.945|0.02	0.949|0.01
37	2018	pearson	de-en	0.971|0.00	0.968|0.00	0.985|0.00	0.984|0.00	0.992|0.00	0.985|0.00	0.986|0.00	0.995|0.00
38	2018	pearson	en-cs	0.995|0.00	0.996|0.00	0.988|0.00	0.994|0.00	0.991|0.00	0.987|0.00	0.987|0.00	0.996|0.00
39	2018	pearson	en-de	0.981|0.00	0.980|0.00	0.985|0.00	0.983|0.00	0.991|0.00	0.985|0.00	0.981|0.00	0.991|0.00
40	2018	pearson	en-et	0.975|0.00	0.970|0.00	0.971|0.00	0.974|0.00	0.978|0.00	0.968|0.00	0.968|0.00	0.973|0.00
41	2018	pearson	en-fi	0.962|0.00	0.967|0.00	0.971|0.00	0.969|0.00	0.956|0.00	0.968|0.00	0.962|0.00	0.968|0.00
42	2018	pearson	en-ru	0.983|0.00	0.979|0.00	0.985|0.00	0.986|0.00	0.990|0.00	0.986|0.00	0.985|0.00	0.994|0.00
43	2018	pearson	en-tr	0.826|0.01	0.839|0.01	0.915|0.00	0.871|0.00	0.926|0.00	0.912|0.00	0.878|0.00	0.889|0.00
44	2018	pearson	en-zh	0.947|0.00	0.946|0.00	0.907|0.00	0.947|0.00	0.934|0.00	0.890|0.00	0.934|0.00	0.946|0.00
45	2018	pearson	et-en	0.986|0.00	0.986|0.00	0.973|0.00	0.980|0.00	0.985|0.00	0.974|0.00	0.977|0.00	0.978|0.00
46	2018	pearson	fi-en	0.973|0.00	0.963|0.00	0.973|0.00	0.987|0.00	0.989|0.00	0.973|0.00	0.993|0.00	0.975|0.00
47	2018	pearson	ru-en	0.979|0.00	0.966|0.00	0.980|0.00	0.974|0.00	0.969|0.00	0.982|0.00	0.982|0.00	0.989|0.00
48	2018	pearson	tr-en	0.657|0.23	0.939|0.02	0.480|0.41	0.373|0.54	0.574|0.31	0.434|0.46	0.604|0.28	0.717|0.17
49	2018	pearson	zh-en	0.978|0.00	0.985|0.00	0.960|0.00	0.980|0.00	0.970|0.00	0.955|0.00	0.970|0.00	0.922|0.00
50	2018	kendall	cs-en	0.800|0.08	0.800|0.08	0.600|0.23	0.800|0.08	0.738|0.08	0.600|0.23	0.800|0.08	0.800|0.08
51	2018	kendall	de-en	0.828|0.00	0.845|0.00	0.917|0.00	0.883|0.00	0.919|0.00	0.917|0.00	0.900|0.00	0.940|0.00
52	2018	kendall	en-cs	1.000|0.02	1.000|0.02	0.949|0.02	1.000|0.02	0.949|0.02	0.800|0.08	0.800|0.08	1.000|0.02
53	2018	kendall	en-de	0.778|0.00	0.750|0.00	0.850|0.00	0.783|0.00	0.848|0.00	0.845|0.00	0.728|0.00	0.799|0.00
54	2018	kendall	en-et	0.868|0.00	0.868|0.00	0.934|0.00	0.906|0.00	0.949|0.00	0.934|0.00	0.928|0.00	0.933|0.00
55	2018	kendall	en-fi	0.901|0.00	0.848|0.00	0.901|0.00	0.879|0.00	0.945|0.00	0.909|0.00	0.909|0.00	0.945|0.00
56	2018	kendall	en-ru	0.889|0.00	0.889|0.00	0.944|0.00	0.889|0.00	0.930|0.00	0.944|0.00	0.889|0.00	0.944|0.00
57	2018	kendall	en-tr	0.571|0.06	0.400|0.17	0.837|0.00	0.571|0.06	0.849|0.00	0.764|0.01	0.546|0.06	0.725|0.02
58	2018	kendall	en-zh	0.736|0.00	0.729|0.00	0.685|0.00	0.833|0.00	0.827|0.00	0.648|0.00	0.856|0.00	0.778|0.00
59	2018	kendall	et-en	0.884|0.00	0.900|0.00	0.884|0.00	0.878|0.00	0.904|0.00	0.884|0.00	0.906|0.00	0.932|0.00
60	2018	kendall	fi-en	0.944|0.00	0.944|0.00	0.889|0.00	0.915|0.00	0.957|0.00	0.889|0.00	1.000|0.00	0.915|0.00
61	2018	kendall	ru-en	0.786|0.01	0.786|0.01	0.929|0.00	0.857|0.00	0.869|0.00	0.929|0.00	0.929|0.00	0.964|0.00
62	2018	kendall	tr-en	0.200|0.82	0.738|0.08	0.400|0.48	0.316|0.45	0.632|0.16	0.400|0.48	0.316|0.45	0.598|0.17
63	2018	kendall	zh-en	0.824|0.00	0.872|0.00	0.738|0.00	0.780|0.00	0.820|0.00	0.767|0.00	0.846|0.00	0.797|0.00
64	2017	pearson	cs-en	0.971|0.03	0.964|0.04	0.575|0.43	0.880|0.12	0.893|0.11	0.564|0.44	0.799|0.20	0.821|0.18
65	2017	pearson	de-en	0.923|0.00	0.930|0.00	0.962|0.00	0.948|0.00	0.932|0.00	0.964|0.00	0.954|0.00	0.955|0.00
66	2017	pearson	en-cs	0.956|0.00	0.954|0.00	0.957|0.00	0.962|0.00	0.973|0.00	0.959|0.00	0.970|0.00	0.972|0.00
