Year	Langs	System	Human	BLEU_m	BLEU	MacroF1	MicroF1	MacroBLEUF	MicroBLEUF	CHRF1	MacroF3	MicroF3	CHRF3
2018	en-et	online-A.0	-0.195	0.1496	13.5	17.7	36.2	13.7	30.0	0.49	18.7	37.7	0.48	
2018	en-et	M4t1ss.5723	0.418	0.2463	23.6	26.7	46.2	21.1	38.0	0.57	27.2	46.7	0.56	
2018	en-et	tilde-c-nmt.5565	0.427	0.2445	23.5	26.8	46.2	21.3	37.9	0.57	27.3	46.8	0.56	
2018	en-et	online-G.0	-0.406	0.1305	12.3	16.3	34.3	12.6	28.2	0.48	17.3	36.6	0.47	
2018	en-fi	HY-NMT-en-fi.5570	0.466	0.1899	17.8	20.8	38.0	16.7	32.6	0.53	21.3	38.4	0.52	
2018	en-fi	Aalto.5550	0.271	0.1762	16.2	18.9	36.1	15.1	30.9	0.52	19.5	36.9	0.52	
2018	en-fi	CUNI-Kocmi.5620	0.184	0.1562	14.7	17.9	34.8	14.2	29.6	0.50	18.5	35.9	0.50	
2018	en-fi	uedin.5707	0.324	0.1788	16.7	20.0	37.2	16.0	31.7	0.52	20.7	38.1	0.52	
2018	en-fi	talp-upc.5424	0.238	0.1562	14.4	17.5	34.4	13.9	29.3	0.50	18.2	35.5	0.50	
2018	en-fi	online-B.0	0.183	0.1504	14.1	17.0	33.9	13.5	29.0	0.50	17.6	34.9	0.50	
2018	en-fi	HY-NMTtwostep-en-fi.5639	0.258	0.1587	14.5	18.1	35.3	14.5	30.1	0.51	18.6	36.0	0.51	
2018	en-fi	online-A.0	-0.212	0.1051	9.1	13.0	29.2	10.2	25.2	0.47	13.9	30.7	0.47	
2018	en-fi	online-G.0	-0.233	0.1119	10.0	14.0	29.5	11.0	25.3	0.47	14.9	31.5	0.46	
2018	en-de	UCAM.5585	0.537	0.4775	46.6	45.8	67.8	38.7	57.5	0.70	46.5	67.8	0.70	
2018	en-fi	HY-AH-en-fi.5567	-0.369	0.0704	6.4	10.8	25.7	8.4	22.4	0.43	11.2	26.6	0.43	
2018	en-fi	NICT.5658	0.521	0.1986	18.2	21.8	39.1	17.4	32.9	0.54	22.5	40.1	0.54	
2018	en-fi	HY-SMT-en-fi.5436	-0.334	0.1179	10.5	14.0	30.3	11.2	26.4	0.47	14.5	31.2	0.46	
2018	en-de	uedin.5770	0.352	0.4550	44.4	42.4	65.7	35.8	55.5	0.69	43.1	65.9	0.68	
2018	en-ru	Alibaba-ensemble-model.5713	0.352	0.3609	34.8	33.5	54.2	28.1	46.0	0.61	34.3	54.9	0.61	
2018	en-tr	alibaba-ensemble-model.5732	0.216	0.2341	20.0	24.4	42.2	19.5	36.1	0.54	25.1	42.9	0.54	
2018	en-tr	alibaba-ensemble-model.5744	0.111	0.2340	20.0	24.3	42.0	19.5	36.0	0.54	25.1	42.9	0.54	
2018	en-ru	online-B.0	0.159	0.2828	27.1	27.2	47.6	22.5	40.9	0.56	28.0	48.3	0.57	
2018	en-tr	NICT.5695	0.128	0.2296	19.2	24.3	41.9	19.4	35.9	0.54	25.0	42.5	0.53	
2018	en-ru	online-G.0	0.324	0.3321	31.3	30.6	51.6	25.5	44.0	0.60	31.5	52.1	0.60	
