camp	lang	syst	human	bleu	bleu_lc	bleu_eff_order	bleu_eff_order_lc	macro_1gF1	macro_1gF1_lc	micro_1gF1	micro_1gF1_lc	macro_1gF_2gP	micro_1gF_2gP	macro_1gF_3gP	micro_1gF_3gP	macro_1gF_4gP	macro_1gF_4gP_lc	micro_1gF_4gP	micro_1gF_4gP_lc	macro_1gF_5gP	micro_1gF_5gP
wmt19	de-cs	CUNI-Unsupervised-NER-post.6934	-0.165	14.073	14.389	14.073	14.389	18.697	19.186	37.342	38.539	16.909	34.928	15.932	34.103	15.291	15.685	33.566	34.593	14.837	33.166
wmt19	de-cs	Unsupervised.de-cs.6929	-0.328	17.748	18.046	17.748	18.046	18.263	18.741	38.118	39.205	16.692	35.31	15.774	34.311	15.132	15.544	33.627	34.634	14.658	33.104
wmt19	de-cs	Unsupervised.de-cs.6935	-0.405	16.055	16.348	16.055	16.348	17.148	17.656	36.694	37.843	15.618	33.934	14.748	33.011	14.148	14.584	32.395	33.419	13.72	31.935
wmt19	de-cs	CAiRE.6949	-0.807	10.243	10.565	10.243	10.565	11.331	11.775	30.591	31.801	10.483	28.361	10.048	27.93	9.778	10.138	27.719	28.744	9.591	27.574
wmt19	en-kk	UAlacant_-_NMT.6718	0.262	9.975	10.481	9.975	10.481	16.303	16.799	30.184	31.307	14.436	27.893	13.458	26.845	12.841	13.22	26.151	27.03	12.419	25.661
wmt19	en-kk	online-B.0	0.243	16.887	17.233	16.887	17.233	20.653	20.883	34.962	35.857	18.853	32.821	17.821	31.848	17.127	17.314	31.165	31.846	16.636	30.675
wmt19	en-kk	UAlacant_-_NMT+RBMT.6722	0.222	9.9	10.429	9.9	10.429	16.209	16.795	29.945	31.139	14.334	27.629	13.363	26.613	12.752	13.198	25.934	26.859	12.335	25.451
wmt19	en-kk	NEU.6755	0.126	11.114	11.55	11.114	11.55	16.182	16.571	30.608	31.734	14.385	28.107	13.46	27.157	12.87	13.209	26.554	27.501	12.462	26.128
wmt19	en-kk	MSRA.CrossBERT.6874	0.108	10.624	10.953	10.624	10.953	14.485	14.822	29.061	30.107	12.925	27.091	12.113	26.215	11.605	11.869	25.635	26.476	11.262	25.233
wmt19	en-kk	CUNI-T2T-transfer-enkk.6554	0.097	8.701	9.242	8.701	9.242	14.539	15.095	28.166	29.516	12.821	25.956	11.958	25.151	11.447	11.912	24.655	25.789	11.111	24.315
wmt19	en-kk	online-G.0	0.078	13.193	14.042	13.193	14.042	18.521	19.421	32.852	34.469	16.428	30.055	15.349	28.864	14.673	15.419	28.106	29.37	14.218	27.59
wmt19	en-kk	rug_enkk_bpe.6804	-0.049	10.301	10.826	10.301	10.826	15.797	16.17	29.353	30.365	14.162	27.412	13.273	26.567	12.707	13.035	25.998	26.888	12.325	25.616
wmt19	en-kk	talp_upc_2019_enkk.6355	-0.328	6.45	6.991	6.45	6.991	11.198	11.586	23.928	25.016	10.056	22.689	9.517	22.367	9.192	9.528	22.166	23.088	8.974	22.019
wmt19	en-kk	NICT.6550	-0.493	6.426	6.733	6.426	6.733	10.284	10.476	23.016	23.936	9.208	21.774	8.727	21.512	8.437	8.62	21.336	22.138	8.255	21.221
wmt19	en-kk	DBMS-KU_ENKK.6730	-1.395	0.952	1.201	0.952	1.201	3.684	4.317	12.504	14.427	3.198	12.012	3.045	11.873	2.96	3.447	11.727	13.342	2.901	11.583
wmt19	fi-en	MSRA.NAO.6983	0.285	31.891	32.936	31.891	32.936	41.058	42.714	60.473	62.609	37.454	55.688	35.223	53.388	33.594	34.853	51.704	53.022	32.379	50.395
wmt19	fi-en	online-Y.0	0.265	29.865	30.972	29.865	30.972	38.1	39.797	58.592	60.781	34.785	53.935	32.746	51.763	31.263	32.587	50.202	51.598	30.167	49.003
wmt19	fi-en	GTCOM-Primary.6946	0.261	31.45	32.549	31.45	32.549	40.873	42.711	60.531	62.735	37.279	55.489	35.05	53.095	33.426	34.784	51.377	52.707	32.207	50.046
wmt19	fi-en	USYD.6995	0.245	33.028	34.05	33.028	34.05	38.599	40.115	59.887	61.929	35.462	55.175	33.525	53.09	32.127	33.257	51.591	52.82	31.073	50.41
wmt19	fi-en	online-B.0	0.107	26.971	28.018	26.971	28.018	34.746	36.845	55.83	58.227	31.892	51.782	30.128	50.001	28.847	30.442	48.722	50.215	27.896	47.736
wmt19	fi-en	Helsinki_NLP.6889	0.105	26.666	27.621	26.666	27.621	34.001	35.405	55.287	57.445	31.132	51.038	29.39	49.163	28.117	29.125	47.805	49.085	27.173	46.762
wmt19	fi-en	online-A.0	0.012	23.851	25.049	23.851	25.049	31.944	33.856	53.107	55.578	29.092	49.138	27.516	47.582	26.434	27.812	46.498	48.009	25.641	45.674
wmt19	fi-en	online-G.0	-0.044	21.002	22.639	21.002	22.639	31.396	34.557	51.34	54.692	28.337	47.463	26.775	46.209	25.741	28.024	45.381	47.332	25.016	44.761
wmt19	fi-en	TartuNLP-c.6905	-0.053	23.909	24.8	23.909	24.8	29.645	30.862	52.264	54.443	27.128	48.571	25.636	47.174	24.608	25.549	46.197	47.59	23.868	45.433
wmt19	fi-en	online-X.0	-0.071	22.192	24.938	22.192	24.938	26.376	32.09	49.53	54.252	24.428	46.557	23.293	45.246	22.471	26.541	44.283	47.313	21.868	43.541
wmt19	fi-en	parfda.6526	-0.209	19.202	20.254	19.202	20.254	28.696	30.997	49.273	52.299	26.14	46.594	24.77	45.71	23.871	25.518	45.075	46.716	23.24	44.589
wmt19	fi-en	apertium-fin-eng-unconstrained-fien.6449	-0.516	7.563	8.184	7.563	8.184	21.926	24.245	37.135	39.966	18.995	35.535	17.769	35.801	17.11	18.763	36.114	38.108	16.725	36.414
wmt19	zh-en	Baidu-system.6940	0.295	37.968	39.26	37.968	39.26	42.838	44.916	65.495	67.616	39.702	59.763	37.685	57.312	36.166	37.759	55.621	56.879	35.013	54.329
wmt19	zh-en	KSAI-system.6927	0.266	37.457	38.761	37.457	38.761	41.497	43.856	64.657	66.861	38.574	59.064	36.7	56.707	35.275	37.107	55.09	56.407	34.183	53.844
wmt19	zh-en	MSRA.MASS.6996	0.203	39.334	40.536	39.334	40.536	44.354	46.62	66.372	68.397	41.234	61.162	39.241	58.865	37.75	39.562	57.26	58.507	36.609	56.011
wmt19	zh-en	MSRA.MASS.6942	0.195	38.291	39.54	38.291	39.54	43.854	46.127	65.817	67.889	40.799	60.803	38.833	58.594	37.354	39.13	57.046	58.298	36.225	55.836
wmt19	zh-en	NEU.6832	0.193	34.191	35.447	34.191	35.447	40.138	42.135	63.104	65.281	37.263	58.077	35.405	55.956	34.016	35.565	54.495	55.772	32.965	53.366
wmt19	zh-en	BTRANS.6825	0.186	33.438	34.667	33.438	34.667	39.669	41.891	62.326	64.602	36.668	57.415	34.836	55.379	33.496	35.131	53.989	55.309	32.49	52.919
wmt19	zh-en	online-B.0	0.161	42.215	43.405	42.215	43.405	42.978	45.21	66.806	68.869	40.369	61.899	38.715	59.893	37.457	39.246	58.501	59.778	36.481	57.414
wmt19	zh-en	BTRANS-ensemble.6992	0.103	33.837	35.056	33.837	35.056	39.909	42.113	62.481	64.756	36.929	57.659	35.098	55.623	33.746	35.378	54.22	55.543	32.73	53.14
wmt19	zh-en	UEDIN.6530	0.054	27.65	28.949	27.65	28.949	34.011	35.985	57.749	60.152	31.676	53.664	30.318	52.36	29.333	30.842	51.523	52.895	28.598	50.874
wmt19	zh-en	online-Y.0	0.049	28.709	29.856	28.709	29.856	35.004	37.227	58.821	61.151	32.395	54.644	30.905	53.48	29.848	31.439	52.759	54.107	29.08	52.205
wmt19	zh-en	NICT.6814	0.001	30.993	32.256	30.993	32.256	32.926	34.713	58.96	61.325	30.69	53.898	29.335	51.925	28.328	29.683	50.623	52.028	27.558	49.638
wmt19	zh-en	online-A.0	-0.065	28.836	30.722	28.836	30.722	36.523	39.883	59.753	62.789	33.682	55.035	32.099	53.522	30.963	33.435	52.576	54.362	30.127	51.867
wmt19	zh-en	online-G.0	-0.202	25.24	27.304	25.24	27.304	32.108	35.52	56.283	59.706	29.767	52.732	28.477	51.685	27.589	30.032	51.035	52.967	26.949	50.54
wmt19	zh-en	online-X.0	-0.483	21.437	24.537	21.437	24.537	25.209	31.617	52.017	57.387	23.858	48.418	23.081	47.469	22.524	27.219	46.925	50.133	22.116	46.529
wmt19	zh-en	Apprentice-c.6706	-0.957	16.94	17.667	16.94	17.667	22.705	24.116	47.587	49.703	22.498	47.52	22.239	47.631	21.98	23.263	47.59	49.196	21.776	47.513
wmt19	en-zh	KSAI-system.6982	0.306	42.409	42.41	42.409	42.41	51.747	51.842	68.035	68.048	49.376	62.754	47.609	60.893	46.2	46.346	59.612	59.639	45.024	58.54
wmt19	en-zh	Baidu-system.6932	0.28	42.37	42.391	42.37	42.391	57.327	57.866	68.707	68.753	54.219	63.547	51.942	61.698	50.11	50.579	60.404	60.448	48.619	59.323
wmt19	en-zh	NEU.6830	0.209	39.883	39.906	39.883	39.906	47.321	47.864	66.145	66.193	45.351	61.601	43.811	59.94	42.524	43.026	58.721	58.778	41.46	57.697
wmt19	en-zh	online-A.0	0.052	31.236	31.293	31.236	31.293	37.743	38.893	58.332	58.448	35.885	54.384	34.73	53.26	33.873	34.95	52.481	52.611	33.19	51.817
wmt19	en-zh	xzl-nmt.6847	0.042	35.599	35.603	35.599	35.603	44.909	45.054	63.462	63.477	43.345	59.672	42.091	58.602	41.035	41.229	57.812	57.841	40.159	57.116
wmt19	en-zh	UEDIN.6158	0.017	34.375	34.389	34.375	34.389	42.897	43.377	62.72	62.765	40.983	58.648	39.685	57.655	38.681	39.126	56.986	57.032	37.861	56.387
wmt19	en-zh	BTRANS.6821	0.009	38.303	38.309	38.303	38.309	51.65	51.905	65.075	65.096	47.776	60.03	45.314	58.527	43.718	43.971	57.532	57.556	42.53	56.696
wmt19	en-zh	NICT.6817	0.0	34.474	34.48	34.474	34.48	34.598	34.84	61.428	61.455	33.015	56.795	32.111	55.538	31.407	31.636	54.719	54.747	30.827	54.034
wmt19	en-zh	online-B.0	-0.125	36.909	36.91	36.909	36.91	53.802	53.842	65.322	65.33	50.368	60.854	48.068	59.419	46.509	46.568	58.402	58.413	45.335	57.543
wmt19	en-zh	online-Y.0	-0.218	32.383	32.394	32.383	32.394	42.027	42.253	61.562	61.586	39.578	57.37	38.205	56.578	37.26	37.5	56.091	56.12	36.526	55.646
wmt19	en-zh	online-G.0	-0.262	30.171	30.199	30.171	30.199	47.848	48.349	60.544	60.597	44.954	57.268	43.055	56.429	41.786	42.28	55.798	55.857	40.848	55.244
wmt19	en-zh	online-X.0	-0.553	24.259	24.517	24.259	24.517	30.793	39.684	51.061	52.031	29.652	50.035	28.835	49.743	28.218	35.003	49.369	50.154	27.737	48.995
wmt19	fr-de	MSRA.MADL.6893	0.267	35.042	35.754	35.042	35.754	35.998	36.752	58.698	60.206	33.064	53.747	31.223	51.414	29.832	30.435	49.728	50.604	28.742	48.412
wmt19	fr-de	eTranslation.6262	0.246	32.715	33.324	32.715	33.324	33.7	34.352	56.315	57.791	30.953	52.024	29.227	50.035	27.927	28.445	48.563	49.477	26.92	47.408
wmt19	fr-de	LIUM.6720	0.082	29.687	30.406	29.687	30.406	31.412	32.115	54.549	56.2	28.711	49.815	27.077	47.61	25.874	26.413	46.048	47.005	24.944	44.847
wmt19	fr-de	MLLP-UPV.6654	0.037	27.47	28.159	27.47	28.159	29.302	29.97	52.261	53.774	26.665	47.831	25.079	45.769	23.942	24.498	44.328	45.315	23.081	43.232
wmt19	fr-de	online-Y.0	0.001	25.437	25.943	25.437	25.943	27.107	27.748	49.638	51.05	24.667	45.573	23.202	43.91	22.15	22.658	42.733	43.623	21.365	41.828
wmt19	fr-de	online-G.0	-0.018	24.222	27.543	24.222	27.543	26.016	29.635	49.505	53.413	23.575	45.312	22.153	43.519	21.142	24.069	42.292	45.079	20.387	41.368
wmt19	fr-de	online-B.0	-0.034	26.404	26.99	26.404	26.99	28.12	28.818	50.931	52.443	25.603	46.852	24.067	45.107	22.964	23.499	43.878	44.823	22.147	42.944
wmt19	fr-de	online-A.0	-0.039	26.75	27.66	26.75	27.66	28.586	29.401	51.991	53.64	26.081	47.48	24.552	45.51	23.452	24.149	44.146	45.225	22.618	43.105
wmt19	fr-de	TartuNLP-c.6514	-0.098	24.813	25.58	24.813	25.58	26.085	26.733	49.478	51.045	23.699	45.517	22.247	43.796	21.225	21.764	42.596	43.593	20.474	41.687
wmt19	fr-de	online-X.0	-0.41	22.623	24.569	22.623	24.569	24.637	26.748	48.306	50.951	22.196	43.91	20.803	41.918	19.828	21.408	40.578	42.194	19.107	39.601
wmt19	ru-en	Facebook_FAIR.6937	0.156	39.989	41.316	39.989	41.316	45.399	47.528	65.521	67.601	41.726	60.123	39.437	57.458	37.738	39.316	55.556	56.734	36.408	54.073
wmt19	ru-en	online-G.0	0.134	38.51	41.25	38.51	41.25	42.993	47.687	63.502	67.155	39.452	58.38	37.245	55.765	35.618	39.552	53.869	56.724	34.371	52.407
wmt19	ru-en	eTranslation.6598	0.122	37.435	38.698	37.435	38.698	41.743	43.497	63.16	65.235	38.242	58.09	36.066	55.644	34.499	35.727	53.893	55.061	33.291	52.53
wmt19	ru-en	online-B.0	0.121	45.278	46.599	45.278	46.599	47.889	50.06	67.446	69.49	44.685	62.527	42.512	60.034	40.837	42.49	58.179	59.432	39.506	56.711
wmt19	ru-en	NEU.6803	0.115	40.004	41.14	40.004	41.14	45.729	47.554	65.272	67.229	42.001	60.275	39.648	57.604	37.906	39.225	55.598	56.75	36.545	54.014
wmt19	ru-en	MSRA.SCA.6976	0.102	40.083	41.373	40.083	41.373	46.263	48.347	65.149	67.256	42.462	60.358	40.114	57.837	38.392	39.99	55.969	57.286	37.067	54.5
wmt19	ru-en	rerank-re.6540	0.084	37.534	38.731	37.534	38.731	42.346	44.241	63.376	65.504	38.879	58.329	36.746	55.827	35.171	36.511	53.997	55.26	33.943	52.562
wmt19	ru-en	online-Y.0	0.076	37.049	38.282	37.049	38.282	41.095	43.061	62.013	64.135	37.841	57.326	35.764	55.223	34.234	35.65	53.675	54.924	33.06	52.448
wmt19	ru-en	online-A.0	0.029	35.572	37.416	35.572	37.416	38.628	41.482	61.278	63.974	35.495	56.399	33.565	54.085	32.149	34.283	52.399	54.144	31.056	51.075
wmt19	ru-en	afrl-syscomb19.6782	0.012	37.197	38.445	37.197	38.445	41.262	43.258	62.731	64.849	37.968	57.878	35.921	55.441	34.4	35.917	53.666	55.033	33.221	52.271
wmt19	ru-en	afrl-ewc.6659	-0.039	34.312	35.531	34.312	35.531	37.3	38.879	60.49	62.551	34.152	55.354	32.226	53.007	30.836	31.948	51.36	52.563	29.788	50.091
wmt19	ru-en	TartuNLP-u.6650	-0.04	30.76	31.977	30.76	31.977	33.929	35.547	57.779	60.002	31.086	53.091	29.352	51.044	28.098	29.222	49.625	50.886	27.159	48.533
wmt19	ru-en	online-X.0	-0.097	30.416	34.729	30.416	34.729	30.535	38.423	55.932	61.55	28.495	51.946	27.107	49.99	26.045	32.031	48.543	52.453	25.223	47.416
wmt19	ru-en	NICT.6561	-0.303	28.212	29.137	28.212	29.137	27.452	28.279	53.525	55.417	25.363	49.838	24.046	48.099	23.08	23.71	46.798	47.976	22.347	45.766
wmt19	kk-en	online-B.0	0.27	31.988	33.801	31.988	33.801	36.956	38.959	57.036	59.704	34.092	52.998	32.374	51.171	31.162	32.624	49.904	51.589	30.262	48.931
wmt19	kk-en	NEU.6753	0.218	30.482	32.468	30.482	32.468	37.536	40.292	56.943	59.965	34.169	52.279	32.077	50.006	30.598	32.724	48.407	50.535	29.526	47.197
wmt19	kk-en	rug_kken_morfessor.6677	0.189	27.944	29.882	27.944	29.882	35.182	37.646	54.388	57.267	32.044	50.11	30.098	48.032	28.764	30.614	46.596	48.587	27.806	45.524
wmt19	kk-en	online-G.0	0.133	25.722	28.72	25.722	28.72	31.719	35.696	52.247	56.528	28.721	47.75	27.05	46.003	25.921	29.015	44.807	47.893	25.11	43.909
wmt19	kk-en	talp_upc_2019_kken.6657	0.113	24.923	26.952	24.923	26.952	31.725	34.63	51.517	54.717	28.918	47.811	27.319	46.204	26.265	28.397	45.116	47.328	25.503	44.288
wmt19	kk-en	NRC-CNRC.6895	0.092	24.937	26.616	24.937	26.616	31.823	33.707	52.6	55.336	28.681	47.635	26.936	45.691	25.762	27.117	44.432	46.184	24.923	43.513
wmt19	kk-en	Frank_s_MT.6127	0.066	19.778	21.093	19.778	21.093	31.769	33.994	49.967	52.404	28.722	46.194	26.911	44.146	25.642	27.239	42.621	44.202	24.715	41.412
wmt19	kk-en	NICT.6770	0.064	26.213	28.099	26.213	28.099	31.33	33.33	52.171	54.987	28.766	48.033	27.164	46.19	26.061	27.542	44.941	46.83	25.258	44.012
wmt19	kk-en	CUNI-T2T-transfer-kken.6436	0.003	18.485	20.063	18.485	20.063	26.043	28.16	45.394	48.407	24.029	43.641	22.92	43.191	22.205	23.789	42.854	44.915	21.706	42.574
wmt19	kk-en	UMD.6736	-0.477	9.196	9.939	9.196	9.939	11.93	12.887	29.176	30.928	12.298	32.975	12.329	34.486	12.248	13.177	34.991	37.029	12.155	35.09
wmt19	kk-en	DBMS-KU_KKEN.6726	-1.058	3.405	3.947	3.405	3.947	5.168	6.221	22.479	25.289	4.611	21.789	4.478	22.341	4.411	5.226	22.757	25.456	4.369	23.032
wmt19	gu-en	NEU.6756	0.21	24.9	26.543	24.9	26.543	30.518	32.801	50.913	53.762	27.757	46.974	26.174	45.357	25.047	26.747	44.251	46.268	24.223	43.422
wmt19	gu-en	UEDIN.6534	0.126	21.447	23.132	21.447	23.132	26.813	29.168	47.547	50.541	24.292	43.749	22.895	42.247	21.953	23.718	41.289	43.357	21.278	40.579
wmt19	gu-en	GTCOM-Primary.6969	0.1	17.481	19.311	17.481	19.311	25.157	27.943	45.45	49.061	22.505	42.111	21.234	41.093	20.421	22.254	40.472	42.621	19.866	40.037
wmt19	gu-en	CUNI-T2T-transfer-guen.6431	0.09	17.447	19.122	17.447	19.122	23.586	25.99	43.703	47.026	21.441	41.136	20.314	40.405	19.568	21.421	39.919	42.216	19.037	39.543
wmt19	gu-en	aylien_mt_gu-en_multilingual.6826	0.066	16.792	18.377	16.792	18.377	25.269	27.573	44.835	47.949	22.822	42.159	21.547	41.332	20.72	22.332	40.823	42.853	20.159	40.464
wmt19	gu-en	NICT.6603	0.044	17.218	18.564	17.218	18.564	23.434	25.629	43.639	46.652	21.345	40.908	20.267	40.081	19.56	21.286	39.557	41.757	19.071	39.161
wmt19	gu-en	online-G.0	-0.189	8.846	10.219	8.846	10.219	23.182	26.801	40.069	44.191	19.993	37.249	18.735	36.724	18.022	20.475	36.509	38.874	17.565	36.389
wmt19	gu-en	IITP-MT.6824	-0.192	9.376	10.411	9.376	10.411	16.243	17.754	35.869	38.71	14.639	34.259	13.952	34.186	13.566	14.793	34.191	36.337	13.337	34.23
wmt19	gu-en	UdS-DFKI.6861	-0.277	9.552	10.751	9.552	10.751	17.354	19.127	36.317	39.841	15.487	34.465	14.747	34.09	14.326	15.642	33.907	36.226	14.061	33.778
wmt19	gu-en	IIITH-MT.6688	-0.296	6.761	9.818	6.761	9.818	9.495	14.177	28.842	35.201	8.889	28.491	8.704	28.885	8.61	12.463	29.194	34.387	8.559	29.43
wmt19	gu-en	Ju_Saarland.6525	-0.598	11.854	12.757	11.854	12.757	14.419	15.106	34.043	36.294	13.876	35.243	13.509	35.792	13.236	13.95	35.987	38.074	13.036	36.034
wmt19	lt-en	GTCOM-Primary.6998	0.234	36.29	37.614	36.29	37.614	44.965	46.694	64.35	66.174	41.088	58.905	38.659	56.281	36.871	38.105	54.385	55.459	35.507	52.917
wmt19	lt-en	tilde-nc-nmt.6881	0.216	31.552	32.592	31.552	32.592	42.47	43.785	61.685	63.396	38.736	56.798	36.506	54.651	34.924	35.835	53.16	54.115	33.723	52.0
wmt19	lt-en	NEU.6759	0.213	34.254	35.491	34.254	35.491	43.553	45.091	62.907	64.666	39.568	57.249	37.116	54.508	35.348	36.433	52.588	53.664	34.027	51.146
wmt19	lt-en	MSRA.MASS.6945	0.206	35.485	36.678	35.485	36.678	44.246	45.552	63.495	65.196	40.214	57.786	37.787	55.08	36.015	36.886	53.162	54.131	34.679	51.701
wmt19	lt-en	tilde-c-nmt.6876	0.202	30.26	31.411	30.26	31.411	40.63	42.248	60.232	62.194	36.976	55.483	34.811	53.399	33.287	34.471	51.952	53.181	32.145	50.852
wmt19	lt-en	online-B.0	0.107	29.457	30.662	29.457	30.662	40.578	42.554	60.067	62.165	36.921	55.109	34.764	52.931	33.264	34.699	51.471	52.711	32.151	50.376
wmt19	lt-en	online-A.0	-0.056	24.346	25.824	24.346	25.824	33.053	34.977	54.877	57.414	29.86	49.907	28.085	47.977	26.893	28.151	46.774	48.231	26.047	45.916
wmt19	lt-en	TartuNLP-c.6908	-0.059	24.141	25.274	24.141	25.274	32.277	33.504	54.39	56.449	29.221	49.903	27.52	48.161	26.375	27.239	47.02	48.328	25.555	46.181
wmt19	lt-en	online-G.0	-0.284	19.488	21.684	19.488	21.684	31.124	33.948	52.387	55.933	27.474	47.273	25.675	45.516	24.526	26.685	44.455	46.739	23.736	43.713
wmt19	lt-en	JUMT.6616	-0.337	16.573	17.645	16.573	17.645	22.396	23.598	44.931	47.312	20.684	43.008	19.786	42.643	19.206	20.0	42.427	43.893	18.804	42.259
wmt19	lt-en	online-X.0	-0.396	17.572	21.351	17.572	21.351	24.082	30.957	47.034	53.088	22.086	44.172	21.019	43.176	20.321	25.312	42.538	46.384	19.832	42.065
wmt19	en-de	Facebook_FAIR.6862	0.347	42.665	43.057	42.665	43.057	42.925	43.409	63.751	64.535	39.813	58.928	37.752	56.498	36.168	36.542	54.692	55.143	34.905	53.244
wmt19	en-de	Microsoft-WMT19-sentence_document.6974	0.311	43.925	44.262	43.925	44.262	43.725	44.174	64.222	64.985	40.624	59.628	38.568	57.283	36.977	37.321	55.538	55.985	35.712	54.138
wmt19	en-de	Microsoft-WMT19-document-level.6808	0.296	43.849	44.161	43.849	44.161	43.565	44.004	64.142	64.911	40.49	59.536	38.464	57.22	36.891	37.208	55.495	55.92	35.622	54.104
wmt19	en-de	MSRA.MADL.6926	0.214	44.926	45.235	44.926	45.235	44.551	45.009	64.781	65.532	41.396	60.14	39.309	57.69	37.707	38.068	55.86	56.306	36.421	54.386
wmt19	en-de	UCAM.6731	0.213	43.009	43.414	43.009	43.414	42.644	43.235	63.321	64.157	39.694	58.86	37.727	56.562	36.195	36.636	54.856	55.359	34.972	53.489
wmt19	en-de	NEU.6763	0.208	43.524	43.85	43.524	43.85	43.31	43.753	63.864	64.635	40.226	59.192	38.2	56.787	36.647	36.997	55.02	55.48	35.415	53.61
wmt19	en-de	MLLP-UPV.6651	0.189	41.723	42.095	41.723	42.095	41.579	42.097	62.727	63.533	38.533	57.981	36.561	55.533	35.045	35.491	53.73	54.289	33.832	52.296
wmt19	en-de	eTranslation.6823	0.13	41.9	42.266	41.9	42.266	41.069	41.548	62.634	63.476	38.215	58.221	36.321	55.981	34.85	35.22	54.32	54.83	33.672	52.977
wmt19	en-de	dfki-nmt.6479	0.119	41.566	43.052	41.566	43.052	39.983	41.915	62.007	63.662	37.124	57.442	35.255	55.081	33.813	35.503	53.336	54.603	32.665	51.947
wmt19	en-de	online-B.0	0.094	41.239	41.645	41.239	41.645	42.209	42.733	62.38	63.199	39.195	58.071	37.275	55.819	35.806	36.223	54.149	54.715	34.642	52.822
wmt19	en-de	Microsoft-WMT19-sentence-level.6785	0.094	42.968	43.341	42.968	43.341	42.984	43.484	63.637	64.425	39.952	59.024	37.956	56.807	36.421	36.815	55.176	55.64	35.202	53.864
wmt19	en-de	JHU.6819	0.081	42.517	42.891	42.517	42.891	40.989	41.493	62.622	63.447	38.115	58.159	36.199	55.867	34.723	35.144	54.169	54.711	33.536	52.793
wmt19	en-de	Helsinki-NLP.6820	0.077	41.411	41.888	41.411	41.888	41.316	41.833	62.408	63.231	38.325	57.803	36.429	55.574	34.972	35.385	53.929	54.416	33.798	52.6
wmt19	en-de	online-Y.0	0.038	42.024	42.348	42.024	42.348	42.267	42.669	62.973	63.713	39.265	58.453	37.317	56.259	35.817	36.147	54.648	55.093	34.626	53.353
wmt19	en-de	lmu-ctx-tf-single-en-de.6981	0.01	40.306	40.645	40.306	40.645	40.427	40.971	61.62	62.444	37.438	57.077	35.521	54.891	34.079	34.501	53.289	53.785	32.929	51.997
wmt19	en-de	PROMT_NMT_EN-DE.6674	0.001	37.941	38.324	37.941	38.324	36.937	37.3	59.653	60.474	34.096	54.955	32.277	52.703	30.886	31.166	51.074	51.607	29.787	49.783
wmt19	en-de	online-A.0	-0.072	41.03	41.384	41.03	41.384	39.952	40.365	61.565	62.329	37.063	57.058	35.193	54.721	33.767	34.142	53.012	53.556	32.629	51.654
wmt19	en-de	online-G.0	-0.119	35.143	39.634	35.143	39.634	35.567	40.537	57.919	61.953	32.818	53.569	31.05	51.431	29.691	34.227	49.856	53.754	28.629	48.616
wmt19	en-de	UdS-DFKI.6871	-0.129	38.648	39.007	38.648	39.007	38.744	39.181	60.064	60.872	35.874	55.777	34.035	53.644	32.635	32.982	52.078	52.604	31.529	50.822
wmt19	en-de	TartuNLP-c.6508	-0.132	36.428	36.84	36.428	36.84	35.582	36.023	58.073	58.929	32.777	53.762	31.025	51.61	29.708	30.082	50.055	50.649	28.665	48.825
wmt19	en-de	online-X.0	-0.4	29.476	31.935	29.476	31.935	28.872	32.61	53.21	56.143	26.318	48.829	24.761	46.662	23.614	26.519	45.146	47.222	22.749	44.006
wmt19	en-de	en_de_task.6790	-1.769	16.853	17.095	16.853	17.095	16.65	16.732	40.249	41.009	15.554	38.604	14.88	38.255	14.397	14.463	37.973	38.517	14.046	37.741
wmt19	en-ru	Facebook_FAIR.6724	0.506	36.342	36.937	36.342	36.937	33.643	34.113	55.21	56.166	31.718	51.569	30.154	49.455	28.889	29.364	47.816	48.615	27.873	46.509
wmt19	en-ru	USTC-MCC.6795	0.332	34.667	35.199	34.667	35.199	32.204	32.66	53.732	54.702	30.269	50.147	28.754	48.114	27.542	27.998	46.556	47.346	26.572	45.319
wmt19	en-ru	online-G.0	0.279	32.701	33.616	32.701	33.616	30.314	31.179	52.331	53.635	28.592	49.08	27.214	47.285	26.115	26.934	45.908	47.023	25.241	44.808
wmt19	en-ru	online-B.0	0.269	30.527	31.1	30.527	31.1	29.095	29.605	50.547	51.591	27.394	47.729	26.053	46.258	24.994	25.494	45.088	45.964	24.153	44.146
wmt19	en-ru	NEU.6773	0.223	33.983	34.486	33.983	34.486	30.855	31.313	52.916	53.881	29.008	49.293	27.559	47.303	26.398	26.858	45.767	46.57	25.466	44.54
wmt19	en-ru	PROMT_NMT_EN-RU.6989	0.219	30.669	31.14	30.669	31.14	28.334	28.596	50.777	51.683	26.54	47.243	25.179	45.374	24.124	24.4	43.982	44.711	23.288	42.886
wmt19	en-ru	online-Y.0	0.156	28.935	29.443	28.935	29.443	27.196	27.568	48.92	49.865	25.517	45.732	24.215	44.217	23.2	23.559	43.087	43.851	22.409	42.216
wmt19	en-ru	rerank-er.6572	-0.188	27.746	28.225	27.746	28.225	24.448	24.814	47.131	48.113	23.011	44.476	21.911	43.068	21.036	21.426	41.954	42.816	20.353	41.066
wmt19	en-ru	online-A.0	-0.268	22.774	23.744	22.774	23.744	22.247	23.103	44.238	45.721	20.71	41.404	19.625	40.095	18.824	19.609	39.137	40.402	18.224	38.416
wmt19	en-ru	TartuNLP-u.6645	-0.31	24.836	25.343	24.836	25.343	21.542	21.966	44.328	45.396	20.179	41.354	19.19	39.97	18.432	18.836	38.943	39.829	17.849	38.146
