camp	lang	syst	human	bleu	bleu_lc	bleu_eff_order	bleu_eff_order_lc	macro_1gF1	macro_1gF1_lc	micro_1gF1	micro_1gF1_lc	macro_1gF_2gP	micro_1gF_2gP	macro_1gF_3gP	micro_1gF_3gP	macro_1gF_4gP	macro_1gF_4gP_lc	micro_1gF_4gP	micro_1gF_4gP_lc	macro_1gF_5gP	micro_1gF_5gP
wmt17	en-de	SYSTRAN.4847	0.092	26.711	27.958	26.711	27.958	27.651	30.301	51.439	53.701	25.257	47.281	23.724	45.462	22.602	24.675	44.175	45.836	21.76	43.193
wmt17	en-de	LMU-nmt-single.4893	0.035	26.559	27.3	26.559	27.3	28.856	29.75	51.503	52.96	26.357	47.596	24.782	45.73	23.626	24.344	44.409	45.355	22.76	43.416
wmt17	en-de	KIT.4950	0.022	26.076	26.654	26.076	26.654	28.622	29.231	50.983	52.245	26.035	47.177	24.41	45.243	23.235	23.705	43.87	44.647	22.36	42.844
wmt17	en-de	xmu.4910	0.015	26.688	27.215	26.688	27.215	29.444	29.964	52.195	53.43	26.839	48.033	25.165	46.147	23.95	24.345	44.817	45.524	23.05	43.81
wmt17	en-de	LIUM-NMT.4900	0.006	26.596	27.153	26.596	27.153	30.231	30.837	52.186	53.449	27.475	48.007	25.775	46.013	24.551	25.026	44.616	45.389	23.636	43.574
wmt17	en-de	RWTH-nmt-ensemble.4921	-0.003	26.025	26.824	26.025	26.824	29.299	29.879	51.802	53.125	26.654	47.676	25.008	45.787	23.817	24.257	44.467	45.254	22.926	43.476
wmt17	en-de	online-A.0	-0.233	20.797	22.389	20.797	22.389	25.15	26.445	47.37	49.523	22.649	43.626	21.189	42.057	20.183	21.217	41.007	42.256	19.469	40.25
wmt17	en-de	PROMT-Rule-based.4735	-0.234	16.609	16.956	16.609	16.956	21.919	22.456	43.197	44.406	19.372	39.674	17.946	38.096	17.01	17.388	37.108	37.836	16.361	36.437
wmt17	en-de	C-3MA.4959	-0.27	22.675	23.174	22.675	23.174	25.506	26.0	48.027	49.265	23.224	44.452	21.808	42.915	20.807	21.186	41.858	42.617	20.075	41.076
wmt17	en-de	fbk-nmt-combination.4870	-0.301	26.332	26.887	26.332	26.887	30.927	31.524	52.131	53.37	28.117	48.24	26.363	46.303	25.103	25.555	44.905	45.672	24.168	43.854
wmt17	en-de	TALP-UPC.4834	-0.391	21.24	21.915	21.24	21.915	24.848	25.444	47.143	48.48	22.411	43.479	20.992	41.95	20.017	20.465	40.929	41.719	19.315	40.188
wmt17	en-de	online-F.0	-0.44	15.452	15.892	15.452	15.892	21.566	22.24	42.149	43.488	19.131	38.729	17.769	37.495	16.892	17.393	36.768	37.582	16.292	36.283
wmt17	en-de	online-G.0	-0.491	18.159	20.282	18.159	20.282	25.053	28.236	46.132	49.427	22.505	42.231	21.038	40.64	20.02	22.517	39.591	42.043	19.297	38.841
wmt17	en-ru	online-B.0	0.402	32.053	32.753	32.053	32.753	31.522	32.239	51.957	53.242	29.259	47.825	27.626	45.798	26.343	26.962	44.3	45.259	25.342	43.147
wmt17	en-ru	uedin-nmt.4756	0.166	29.793	30.47	29.793	30.47	28.583	29.209	49.934	51.169	26.467	46.045	24.959	43.898	23.799	24.354	42.291	43.266	22.906	41.041
wmt17	en-ru	online-H.0	0.105	28.411	29.008	28.411	29.008	27.673	28.311	49.33	50.559	25.562	45.379	24.112	43.358	23.013	23.575	41.885	42.802	22.163	40.745
wmt17	en-ru	PROMT-Rule-based.4736	0.08	22.302	22.892	22.302	22.892	23.667	24.435	43.958	45.299	21.554	39.996	20.202	38.234	19.23	19.833	37.007	37.936	18.518	36.101
wmt17	en-ru	online-A.0	0.061	23.827	25.046	23.827	25.046	23.542	24.726	45.112	46.914	21.582	41.428	20.318	39.699	19.391	20.383	38.469	39.865	18.698	37.542
wmt17	en-ru	online-G.0	0.054	27.114	28.288	27.114	28.288	27.017	28.314	48.282	50.086	24.959	44.445	23.542	42.544	22.457	23.545	41.155	42.542	21.631	40.083
wmt17	en-ru	jhu-pbmt.4986	-0.018	25.319	25.942	25.319	25.942	24.954	25.574	46.387	47.664	22.931	42.598	21.582	40.682	20.572	21.061	39.292	40.197	19.815	38.228
wmt17	en-ru	afrl-mitll-backtrans.4907	-0.194	25.373	26.287	25.373	26.287	22.811	23.226	45.08	46.363	21.158	41.513	20.031	39.767	19.167	19.572	38.505	39.474	18.507	37.544
wmt17	en-ru	online-F.0	-0.568	10.084	10.48	10.084	10.48	13.978	14.337	32.435	33.503	12.419	29.854	11.589	29.148	11.07	11.389	28.804	29.688	10.729	28.606
wmt17	en-fi	online-B.0	0.378	22.042	22.385	22.042	22.385	21.377	21.722	41.243	42.19	19.188	37.002	17.869	34.983	16.965	17.216	33.648	34.37	16.298	32.672
wmt17	en-fi	HY-HNMT.4961	0.305	20.722	21.144	20.722	21.144	20.373	20.817	40.116	41.229	18.336	36.137	17.121	34.26	16.278	16.614	33.006	33.876	15.659	32.097
wmt17	en-fi	online-G.0	0.09	15.511	16.201	15.511	16.201	16.815	17.569	35.376	36.886	14.847	31.348	13.798	29.641	13.102	13.699	28.566	29.632	12.594	27.797
wmt17	en-fi	jhu-nmt-lattice-rescore.4903	0.06	15.955	16.392	15.955	16.392	16.396	16.783	35.64	36.745	14.572	31.692	13.565	30.009	12.889	13.168	28.939	29.778	12.404	28.183
wmt17	en-fi	AaltoHnmtMultitask.4873	-0.004	20.281	20.621	20.281	20.621	20.368	20.733	40.01	41.054	18.342	36.099	17.149	34.319	16.332	16.609	33.144	33.96	15.734	32.293
wmt17	en-fi	AaltoHnmtFlatcat.4798	-0.102	17.149	17.445	17.149	17.445	16.801	16.942	35.78	36.637	15.216	32.346	14.255	30.839	13.595	13.673	29.839	30.478	13.11	29.109
wmt17	en-fi	online-A.0	-0.109	13.715	14.061	13.715	14.061	15.16	15.487	33.531	34.597	13.4	30.093	12.495	28.796	11.92	12.2	28.0	28.826	11.518	27.447
wmt17	en-fi	HY-SMT.4882	-0.115	15.871	16.207	15.871	16.207	16.674	17.132	35.37	36.51	14.895	31.821	13.926	30.393	13.277	13.596	29.478	30.327	12.801	28.815
wmt17	en-fi	HY-AH.4797	-0.192	9.33	9.811	9.33	9.811	12.238	12.905	29.428	30.802	10.61	26.137	9.813	24.874	9.334	9.843	24.149	25.169	9.011	23.664
wmt17	en-fi	jhu-pbmt.4968	-0.204	14.456	14.904	14.456	14.904	15.737	16.176	34.413	35.56	13.937	30.718	12.963	29.183	12.324	12.633	28.216	29.067	11.862	27.53
wmt17	en-fi	TALP-UPC.4939	-0.298	11.465	11.768	11.465	11.768	11.857	12.025	29.581	30.522	10.762	27.622	10.166	26.817	9.783	9.952	26.299	27.13	9.52	25.949
wmt17	en-fi	apertium-unconstrained.4769	-1.428	1.046	1.1	1.046	1.1	2.046	2.15	10.845	11.23	1.844	10.721	1.77	10.848	1.732	1.819	11.0	11.564	1.708	11.118
wmt17	en-tr	online-B.0	0.513	19.928	20.431	19.928	20.431	25.362	25.873	42.987	44.241	22.885	39.784	21.382	38.331	20.358	20.864	37.321	38.455	19.639	36.595
wmt17	en-tr	uedin-nmt.4932	0.206	16.426	17.023	16.426	17.023	18.989	19.44	37.182	38.545	17.141	34.699	16.05	33.468	15.325	15.762	32.618	33.848	14.817	31.992
wmt17	en-tr	online-A.0	0.071	11.62	14.054	11.62	14.054	17.407	19.922	34.514	37.918	15.46	31.602	14.491	30.546	13.899	15.722	29.953	32.445	13.508	29.558
wmt17	en-tr	online-G.0	-0.032	13.929	14.777	13.929	14.777	20.659	21.908	37.681	39.762	18.134	34.048	16.874	32.723	16.108	17.103	31.954	33.566	15.599	31.438
wmt17	en-tr	LIUM-NMT.4953	-0.129	16.034	16.343	16.034	16.343	19.099	19.628	36.339	37.522	17.305	34.132	16.233	33.021	15.522	16.01	32.232	33.425	15.024	31.644
wmt17	en-tr	jhu-nmt-lattice-rescore.4904	-0.554	10.371	10.878	10.371	10.878	14.608	15.243	31.551	33.139	12.787	28.363	11.936	27.417	11.432	11.953	26.93	28.19	11.109	26.624
wmt17	en-tr	jhu-pbmt.4970	-0.597	9.806	10.343	9.806	10.343	14.528	15.24	31.532	33.198	12.622	28.046	11.763	27.032	11.267	11.848	26.542	27.827	10.95	26.244
wmt17	en-tr	JAIST.4858	-0.602	9.981	10.471	9.981	10.471	16.116	17.051	32.659	34.478	13.916	28.931	12.984	27.968	12.448	13.175	27.501	28.797	12.111	27.217
wmt17	de-en	online-B.0	0.213	32.972	34.239	32.972	34.239	41.085	43.024	60.799	62.78	38.112	56.42	36.102	54.375	34.571	36.137	52.858	54.163	33.365	51.651
wmt17	de-en	online-A.0	0.169	32.485	34.028	32.485	34.028	39.894	42.527	60.334	62.629	36.932	55.864	34.936	53.821	33.412	35.542	52.307	53.915	32.213	51.096
wmt17	de-en	KIT.4951	0.165	34.562	36.081	34.562	36.081	41.259	43.527	61.404	63.524	38.346	56.901	36.336	54.749	34.8	36.706	53.164	54.622	33.588	51.9
wmt17	de-en	uedin-nmt.4723	0.162	35.117	36.483	35.117	36.483	41.726	43.732	61.924	63.945	38.753	57.349	36.734	55.193	35.18	36.85	53.604	54.936	33.938	52.325
wmt17	de-en	RWTH-nmt-ensemble.4920	0.131	33.12	34.542	33.12	34.542	39.943	41.708	60.476	62.43	37.048	55.92	35.075	53.819	33.565	35.025	52.277	53.554	32.377	51.055
wmt17	de-en	SYSTRAN.4846	0.098	33.165	34.286	33.165	34.286	40.369	42.158	60.726	62.632	37.4	56.257	35.431	54.291	33.93	35.373	52.843	54.098	32.751	51.683
wmt17	de-en	LIUM-NMT.4733	0.029	30.103	31.466	30.103	31.466	36.941	38.964	57.633	59.702	34.242	53.548	32.392	51.571	30.981	32.697	50.115	51.593	29.884	48.979
wmt17	de-en	TALP-UPC.4830	-0.058	28.093	29.278	28.093	29.278	36.706	38.549	56.997	59.031	33.713	52.928	31.892	51.361	30.563	32.043	50.228	51.504	29.555	49.336
wmt17	de-en	online-G.0	-0.072	26.042	29.166	26.042	29.166	36.586	42.378	56.342	60.389	33.399	51.748	31.437	49.788	30.003	34.676	48.423	51.342	28.933	47.386
wmt17	de-en	C-3MA.4958	-0.103	28.981	30.193	28.981	30.193	35.762	37.529	57.04	59.07	33.235	53.224	31.542	51.573	30.253	31.799	50.353	51.792	29.272	49.395
wmt17	de-en	online-F.0	-0.26	17.672	19.044	17.672	19.044	30.232	32.551	49.903	52.348	26.965	45.638	25.167	44.355	23.974	25.787	43.57	45.121	23.144	43.019
wmt17	cs-en	uedin-nmt.4955	0.181	30.948	31.863	30.948	31.863	39.357	40.763	58.341	60.112	36.272	54.134	34.376	52.303	32.949	34.031	50.988	52.008	31.857	49.945
wmt17	cs-en	online-B.0	0.068	27.448	28.366	27.448	28.366	36.519	38.045	55.913	57.768	33.601	52.08	31.844	50.516	30.572	31.682	49.42	50.467	29.608	48.555
wmt17	cs-en	online-A.0	-0.068	25.122	26.268	25.122	26.268	32.965	34.995	53.735	55.937	30.091	49.749	28.45	48.294	27.294	28.827	47.308	48.658	26.436	46.544
wmt17	cs-en	PJATK.4760	-0.268	23.152	23.859	23.152	23.859	36.006	37.258	53.805	55.61	32.762	50.049	30.924	48.587	29.655	30.574	47.587	48.571	28.735	46.811
