				Wiki Neural						Wiki BM25						Europarl BM25							TG's calculations								Constantine's calculations																			
lang	size	bpe.tokens	map	map.gm	p.5	p.10	r.10	rbo	ndcg	map.gm3	p.52	p.105	r.106	rbo7	ndcg8	map.gm2	p.53	p.104	r.105	rbo6	ndcg7	Column1	bleu	chrf2	macrof	microf	macrobleu	microbleu	chrf1	chrf3	bleu.lower	bleu.lower.stem	bleu.lower.depunc	bleu.lower.stem.depunc	prec1.lower	prec1.lower.stem	prec1.lower.depunc	prec1.lower.stem.depunc	prec2.lower	prec2.lower.stem	prec2.lower.depunc	prec2.lower.stem.depunc	prec3.lower	prec3.lower.stem	prec3.lower.depunc	prec3.lower.stem.depunc	prec4.lower	prec4.lower.stem	prec4.lower.depunc	prec4.lower.stem.depunc
cs	150000	32000	0.4069	0.001	0.0219	0.0152	0.152	0.100973648	0.1605	0.1379	0.1434	0.0761	0.7612	0.338210918	0.6924	0.2731	0.7429	0.7204	0.0775	0.482210317	0.5738		29.5	0.57	29.8	56.1	26.3	50.4	0.574	0.564	30.2	31.5	28.3	29.7	63.3	65.3	61	63.3	37.1	38.7	35.7	37.3	24	25.1	22.5	23.7	15.8	16.7	14.5	15.4
cs	175000	32000	0.4204	0.0012	0.023	0.0165	0.1646	0.106775154	0.1668	0.167	0.147	0.0776	0.7764	0.350454296	0.7109	0.3227	0.7766	0.7421	0.0798	0.490804098	0.5892		30.5	0.57	30.8	56.9	27.2	50.8	0.58	0.573	31.2	32.5	29.2	30.7	63.3	65.2	61.2	63.4	37.5	39	36.1	37.7	24.5	25.6	23	24.2	16.4	17.3	15	15.9
cs	200000	32000	0.4245	0.0012	0.0231	0.0159	0.1588	0.111554795	0.1666	0.1602	0.1474	0.0776	0.7756	0.348966115	0.7095	0.313	0.7712	0.7384	0.0778	0.498437454	0.5928		30.8	0.58	31.2	57.2	27.3	51	0.583	0.575	31.5	32.8	29.5	31	63.9	65.9	61.7	64	38.1	39.7	36.6	38.3	25	26.2	23.4	24.7	16.8	17.7	15.3	16.3
																						Pearson wiki neural map.gm3	0.880	0.867	0.863	0.861	0.860	0.875	0.862	0.865	0.880	0.879	0.880	0.877	0.855	0.852	0.857	0.854	0.875	0.872	0.876	0.874	0.884	0.881	0.884	0.883	0.888	0.885	0.887	0.888
																						Pearson wiki neural rbo	0.961	0.965	0.957	0.958	0.953	0.959	0.962	0.964	0.962	0.963	0.961	0.962	0.954	0.954	0.956	0.957	0.961	0.961	0.962	0.962	0.962	0.962	0.963	0.963	0.960	0.961	0.959	0.961
																						Pearson wiki neural ndcg8	0.932	0.943	0.931	0.935	0.925	0.930	0.943	0.946	0.933	0.936	0.932	0.934	0.934	0.936	0.935	0.939	0.935	0.936	0.936	0.938	0.933	0.934	0.934	0.935	0.928	0.929	0.926	0.930
																						Pearson wiki  BM25 map.gm3	0.933	0.921	0.920	0.918	0.918	0.929	0.919	0.921	0.933																			
																						Pearson wiki BM25 rbo	0.932	0.948	0.932	0.937	0.926	0.930	0.946	0.950	0.933																			
																						Pearson wiki BM25 ndcg8	0.929	0.950	0.933	0.941	0.927	0.929	0.950	0.954	0.931																			
																						Pearson Europarl  BM25 MAP.gm	0.966	0.966	0.972	0.974	0.971	0.964	0.976	0.978	0.967																			
																						Pearson Europarl BM25 RBO	0.984	0.984	0.989	0.989	0.990	0.985	0.987	0.985	0.984																			
																						Pearson Europarl BM25 NDCG	0.985	0.990	0.991	0.993	0.990	0.985	0.994	0.994	0.986																			
																						Kendall Tau Europarl BM25 map.gm																												
																						Kendall Tau Europarl BM25 RBO																												
																						Kendall Tau Europarl BM25 NDCG																												
																																																		
de	25000	16000	0.2729	8.00E-04	0.0184	0.0132	0.1322	0.08021724	0.1459	0.1031	0.1362	0.0718	0.7184	0.301340587	0.6586	0.1833	0.6479	0.6048	0.0649	0.337021607	0.4502		19.5	0.46	15.7	44.3	15.2	43	0.465	0.452	20	20.8	18.2	19.1	52.3	53.6	50.3	51.9	25.8	26.8	25.1	26.2	14.4	15	13.5	14.1	8.2	8.6	7.3	7.8
de	50000	16000	0.3501	0.0015	0.0262	0.0182	0.182	0.10309039	0.1793	0.2099	0.1541	0.0803	0.803	0.3649572	0.7462	0.254	0.726	0.6952	0.0755	0.416209105	0.5238		24.2	0.51	22.7	50.2	20.9	47	0.518	0.502	24.8	25.9	23.1	24.2	58.7	60.4	56.4	58.3	32.1	33.3	31	32.4	19.5	20.4	18.4	19.3	12.1	12.8	11	11.7
de	75000	16000	0.3791	0.0021	0.0279	0.0196	0.196	0.113296963	0.1927	0.2525	0.1597	0.0827	0.8271	0.384002442	0.7726	0.2878	0.7517	0.7262	0.0782	0.438361633	0.5515		26	0.52	25.5	52.2	23.1	48.2	0.535	0.521	26.7	27.7	24.9	26	60.3	62	58.2	60.1	33.9	35.2	33	34.3	21.2	22	20	21	13.5	14.2	12.4	13.1
de	100000	16000	0.3988	0.0024	0.0293	0.0205	0.2046	0.119333608	0.1991	0.298	0.164	0.085	0.85	0.396480469	0.7909	0.2973	0.763	0.7356	0.0796	0.469834047	0.5702		28.2	0.54	27.8	54.3	24.9	49.5	0.552	0.54	28.9	29.9	27	28.2	61.6	63.3	59.5	61.5	35.7	37	34.6	36	22.8	23.7	21.5	22.5	15	15.6	13.7	14.4
de	125000	16000	0.3957	0.0023	0.027	0.019	0.1896	0.114781215	0.1902	0.2993	0.1643	0.0852	0.8515	0.400423537	0.7922	0.3033	0.7589	0.7322	0.0812	0.460881393	0.5667		28.1	0.54	27.9	54.2	25	49.6	0.551	0.54	28.8	29.8	27	28.2	61.3	63	59.5	61.5	35.5	36.8	34.6	36	22.7	23.6	21.6	22.6	14.8	15.5	13.7	14.4
de	150000	16000	0.4131	0.0027	0.0289	0.0202	0.2022	0.120583499	0.2027	0.3357	0.1673	0.0864	0.8643	0.40763782	0.8098	0.3289	0.7795	0.7479	0.0829	0.480679723	0.582		28.8	0.55	29	55.1	25.9	50.2	0.56	0.547	29.5	30.7	27.8	29	62.4	64.2	60.4	62.5	36.6	37.9	35.6	37	23.6	24.6	22.5	23.5	15.6	16.4	14.4	15.2
de	175000	16000	0.4189	0.0029	0.0302	0.0213	0.213	0.124609581	0.2044	0.336	0.1679	0.0867	0.867	0.413456328	0.8106	0.3373	0.7699	0.7445	0.0847	0.483286198	0.5891		30	0.56	30.9	56.2	27.3	50.9	0.569	0.558	30.6	31.8	29	30.2	63.3	65.1	61.4	63.4	37.8	39.1	36.8	38.2	24.7	25.7	23.6	24.6	16.5	17.2	15.3	16.2
